CustomerID,SeniorCitizen,Partner,Tenure,Contract,InternetService,TechSupport,MonthlyCharges,TotalCharges,SupportTickets,PaymentMethod,PaperlessBilling,Churn
US-1026,1,No,26,Month-to-month,Fiber optic,Yes,80.04,2074.58,1,Bank transfer,Yes,1
US-1027,0,No,14,Month-to-month,Fiber optic,No,94.56,1318.92,2,Credit card,No,1
US-1028,0,Yes,57,Month-to-month,Fiber optic,No,100.78,5729.28,2,Electronic check,Yes,0
US-1029,1,No,37,Two year,Fiber optic,No,78.56,2918.88,1,Electronic check,Yes,0
US-1030,0,Yes,58,One year,DSL,Yes,60.63,3552.92,0,Credit card,Yes,0
US-1031,1,No,21,One year,Fiber optic,No,91.11,1900.8,2,Credit card,No,1
US-1032,1,Yes,69,Month-to-month,Fiber optic,Yes,73.2,5071.8,1,Bank transfer,Yes,0
US-1033,0,Yes,3,Two year,DSL,Yes,69.55,214.15,2,Credit card,No,1
US-1034,0,Yes,37,Month-to-month,DSL,No,55.07,2038.12,3,Bank transfer,No,1
US-1035,0,No,49,Month-to-month,DSL,No,62.24,3044.6,0,Bank transfer,No,0
US-1036,0,Yes,19,Month-to-month,Fiber optic,No,93.17,1768.98,3,Electronic check,Yes,1
US-1037,1,No,12,One year,No,No,24.16,307.16,2,Mailed check,Yes,0
US-1038,0,Yes,61,Month-to-month,DSL,Yes,48.22,2924.35,2,Electronic check,No,0
US-1039,0,Yes,41,Two year,DSL,No,57.7,2361.57,0,Credit card,Yes,0
US-1040,1,No,33,Month-to-month,DSL,Yes,58.57,1951.55,4,Credit card,Yes,1
US-1041,0,No,50,One year,Fiber optic,No,103.01,5165.26,0,Bank transfer,Yes,0
US-1042,1,Yes,68,Month-to-month,Fiber optic,Yes,107.8,7313.56,1,Electronic check,No,1
US-1043,0,No,71,Month-to-month,Fiber optic,No,94.52,6708.18,1,Electronic check,No,0
US-1044,0,No,33,Two year,Fiber optic,No,73.91,2449.95,1,Electronic check,Yes,1
US-1045,0,No,24,Two year,Fiber optic,No,80.66,1945.79,1,Electronic check,No,0
US-1046,0,Yes,61,One year,No,No,19.98,1233.41,0,Bank transfer,Yes,0
US-1047,0,Yes,61,Two year,No,No,19.5,1195.26,0,Credit card,No,0
US-1048,0,No,28,One year,DSL,No,55.98,1575.72,1,Electronic check,Yes,0
US-1049,1,Yes,58,Month-to-month,DSL,No,51.88,3014.18,1,Electronic check,No,0
US-1050,0,No,43,One year,DSL,Yes,51.55,2240.35,1,Bank transfer,Yes,0
US-1051,0,No,41,Month-to-month,DSL,Yes,46.64,1905.91,1,Electronic check,Yes,0
US-1052,0,No,39,Month-to-month,No,No,18.21,710.91,5,Credit card,Yes,1
US-1053,0,No,49,Month-to-month,Fiber optic,Yes,74.62,3641.16,3,Electronic check,Yes,0
US-1054,0,No,17,One year,DSL,No,50.17,834.71,1,Electronic check,No,0
US-1055,0,Yes,70,One year,Fiber optic,No,89.39,6262.17,1,Electronic check,Yes,0
US-1056,1,No,70,Month-to-month,Fiber optic,No,92.97,6497.04,1,Electronic check,Yes,1
US-1057,1,Yes,65,One year,DSL,Yes,49.22,3198.43,0,Mailed check,Yes,0
US-1058,1,No,5,Two year,Fiber optic,Yes,89.12,469.87,0,Electronic check,Yes,0
US-1059,0,No,2,Month-to-month,Fiber optic,No,85.38,194.16,1,Mailed check,Yes,0
US-1060,0,No,22,Month-to-month,Fiber optic,No,78.25,1754.86,3,Mailed check,Yes,0
US-1061,0,No,57,Two year,DSL,No,45.21,2601.53,0,Electronic check,Yes,0
US-1062,0,No,66,Month-to-month,DSL,No,59.01,3930.71,6,Electronic check,Yes,1
US-1063,0,Yes,16,One year,Fiber optic,Yes,100.85,1620.15,0,Mailed check,Yes,0
US-1064,0,Yes,51,Month-to-month,DSL,No,51.79,2627.74,2,Bank transfer,No,0
US-1065,0,No,39,Month-to-month,Fiber optic,No,75.93,2946.26,1,Credit card,No,0
US-1066,1,Yes,40,One year,Fiber optic,Yes,109.92,4417.74,0,Electronic check,Yes,0
US-1067,0,Yes,38,One year,Fiber optic,Yes,82.38,3131.21,0,Electronic check,No,0
US-1068,1,Yes,60,Two year,No,No,20.68,1242.69,1,Electronic check,No,0
US-1069,0,Yes,59,Two year,Fiber optic,Yes,108.57,6397.39,1,Mailed check,Yes,0
US-1070,0,Yes,10,Two year,DSL,No,69.51,688.66,4,Bank transfer,No,1
US-1071,1,Yes,64,One year,Fiber optic,No,90.18,5777.28,1,Credit card,Yes,0
US-1072,1,Yes,63,Month-to-month,Fiber optic,No,92.02,5781.43,2,Bank transfer,No,0
US-1073,0,Yes,49,Month-to-month,Fiber optic,No,79.8,3914.06,3,Electronic check,Yes,0
US-1074,0,No,64,Month-to-month,DSL,No,47.35,3053.07,1,Mailed check,Yes,0
US-1075,0,Yes,32,Two year,No,No,24.88,764.16,1,Credit card,Yes,0
US-1076,0,Yes,7,Month-to-month,Fiber optic,Yes,74.43,497.89,1,Electronic check,No,1
US-1077,1,No,21,One year,DSL,No,58.48,1238.21,2,Mailed check,No,1
US-1078,0,Yes,20,Month-to-month,DSL,No,73.21,1484.66,0,Credit card,Yes,0
US-1079,1,No,26,Two year,DSL,No,73.59,1905.99,2,Bank transfer,Yes,0
US-1080,0,No,68,Two year,No,No,20.87,1389.19,1,Bank transfer,Yes,0
US-1081,0,Yes,15,Month-to-month,DSL,No,63.72,977.28,1,Electronic check,Yes,1
US-1082,0,Yes,14,Two year,DSL,No,59.22,816.91,1,Mailed check,Yes,1
US-1083,1,No,27,Month-to-month,No,No,28.51,764.35,1,Electronic check,Yes,1
US-1084,0,No,40,Month-to-month,DSL,Yes,53.14,2130.39,3,Bank transfer,No,1
US-1085,0,No,58,Two year,DSL,No,45.11,2606.38,2,Electronic check,No,0
US-1086,0,No,28,Month-to-month,DSL,Yes,49.88,1383.5,3,Credit card,Yes,1
US-1087,0,Yes,26,Two year,DSL,Yes,55.49,1429.87,0,Credit card,Yes,0
US-1088,0,No,63,Month-to-month,DSL,Yes,54.47,3459.48,1,Mailed check,No,0
US-1089,0,Yes,66,Month-to-month,Fiber optic,Yes,105.61,6987.65,3,Electronic check,No,0
US-1090,1,No,25,Two year,DSL,Yes,65.42,1644.12,0,Electronic check,No,0
US-1091,0,No,3,Month-to-month,DSL,No,53.99,129.17,4,Bank transfer,No,1
US-1092,0,No,72,Two year,Fiber optic,No,90.6,6531.87,0,Bank transfer,No,0
US-1093,0,No,44,Two year,Fiber optic,Yes,74.3,3277.06,1,Bank transfer,Yes,0
US-1094,0,Yes,42,Month-to-month,Fiber optic,Yes,110.42,4618.47,0,Electronic check,Yes,0
US-1095,0,Yes,6,Month-to-month,Fiber optic,Yes,112.09,676.42,0,Mailed check,No,1
US-1096,0,Yes,39,Month-to-month,DSL,Yes,74.39,2916.98,2,Bank transfer,Yes,0
US-1097,0,Yes,52,Month-to-month,Fiber optic,Yes,109.08,5680.7,0,Mailed check,Yes,0
US-1098,1,No,23,Month-to-month,Fiber optic,No,77.83,1779.89,1,Bank transfer,Yes,1
US-1099,1,Yes,50,Month-to-month,Fiber optic,Yes,72.08,3604.2,0,Bank transfer,No,0
US-1100,1,Yes,43,Month-to-month,No,No,24.96,1084.24,1,Electronic check,No,1
US-1101,0,No,19,Month-to-month,DSL,No,72.38,1376.11,1,Electronic check,Yes,1
US-1102,0,No,69,Two year,Fiber optic,Yes,77.98,5399.43,0,Mailed check,Yes,0
US-1103,0,No,51,Two year,DSL,No,45.21,2311.65,3,Electronic check,No,0
US-1104,0,No,11,One year,Fiber optic,No,106.25,1180.04,1,Bank transfer,Yes,0
US-1105,0,Yes,12,Month-to-month,Fiber optic,No,73.46,893.84,1,Bank transfer,Yes,1
US-1106,0,Yes,8,Two year,No,No,22.96,167.68,2,Credit card,No,0
US-1107,0,No,24,Month-to-month,DSL,No,65.37,1569.63,8,Bank transfer,Yes,1
US-1108,0,No,41,One year,Fiber optic,Yes,80.66,3302.07,0,Electronic check,Yes,1
US-1109,1,Yes,36,Two year,Fiber optic,Yes,73.78,2671.74,2,Electronic check,No,0
US-1110,0,No,72,Month-to-month,Fiber optic,No,104.65,7541.75,3,Credit card,Yes,0
US-1111,1,Yes,55,One year,Fiber optic,Yes,98.36,5406.98,0,Electronic check,No,0
US-1112,0,Yes,9,Two year,Fiber optic,No,114.48,1011.09,0,Bank transfer,Yes,0
US-1113,0,No,47,Two year,Fiber optic,Yes,85.49,3994.08,0,Bank transfer,Yes,0
US-1114,0,No,15,One year,DSL,Yes,46.85,707.41,2,Electronic check,Yes,0
US-1115,0,No,48,Month-to-month,Fiber optic,No,103.05,4935.64,0,Electronic check,Yes,0
US-1116,0,Yes,42,Month-to-month,DSL,No,60.65,2557.29,2,Mailed check,No,1
US-1117,1,No,60,Month-to-month,No,No,20.56,1208.95,1,Credit card,No,0
US-1118,0,Yes,70,Two year,Fiber optic,No,105.18,7386.49,0,Electronic check,No,0
US-1119,0,Yes,12,Month-to-month,No,No,20.45,255.36,1,Credit card,Yes,0
US-1120,0,No,2,Two year,DSL,Yes,52.82,107.13,0,Mailed check,No,0
US-1121,0,No,7,Month-to-month,No,No,19.11,159.02,0,Credit card,Yes,1
US-1122,0,No,3,Month-to-month,No,No,22.79,82.6,3,Electronic check,No,1
US-1123,1,No,3,Month-to-month,Fiber optic,No,88.85,259.42,3,Electronic check,No,1
US-1124,0,No,27,One year,Fiber optic,Yes,93.16,2516.48,0,Credit card,Yes,0
US-1125,0,No,40,Month-to-month,DSL,Yes,66.27,2621.34,3,Credit card,Yes,0
US-1126,0,Yes,33,Month-to-month,No,No,28.87,968.67,2,Mailed check,Yes,0
US-1127,0,Yes,1,Month-to-month,Fiber optic,No,76.2,71.76,1,Bank transfer,Yes,1
US-1128,1,Yes,8,Month-to-month,DSL,Yes,46.63,343.38,1,Credit card,No,1
US-1129,0,Yes,32,Month-to-month,DSL,Yes,45.56,1440.19,1,Electronic check,Yes,0
US-1130,0,No,48,Two year,No,No,19.72,959.62,1,Mailed check,Yes,0
US-1131,0,No,4,Month-to-month,No,No,25.9,127.81,3,Credit card,Yes,1
US-1132,1,Yes,70,Month-to-month,No,No,26.73,1871.41,1,Electronic check,No,0
US-1133,0,Yes,19,Two year,Fiber optic,Yes,105.39,1987.68,1,Electronic check,Yes,0
US-1134,0,No,32,Two year,DSL,Yes,52.31,1652.61,0,Bank transfer,Yes,0
US-1135,0,Yes,9,One year,DSL,Yes,54.18,508.84,1,Electronic check,Yes,1
US-1136,0,No,12,Month-to-month,DSL,Yes,59.49,720.62,0,Electronic check,No,0
US-1137,0,No,11,Two year,DSL,Yes,46.9,510.95,0,Credit card,Yes,0
US-1138,0,No,46,Two year,Fiber optic,Yes,97.5,4476.48,0,Mailed check,No,0
US-1139,0,No,16,Two year,DSL,No,74.51,1202.24,1,Credit card,Yes,0
US-1140,0,No,1,Month-to-month,Fiber optic,Yes,86.24,95.9,0,Credit card,Yes,1
US-1141,0,Yes,63,One year,No,No,27.03,1689.44,0,Electronic check,Yes,0
US-1142,0,No,21,One year,Fiber optic,Yes,92.5,1925.36,1,Electronic check,Yes,0
US-1143,0,No,30,Month-to-month,No,No,19.53,569.52,1,Electronic check,Yes,1
US-1144,0,Yes,13,Month-to-month,Fiber optic,Yes,96.2,1243.58,3,Electronic check,Yes,1
US-1145,1,No,34,Two year,DSL,No,54.0,1825.65,2,Bank transfer,No,0
US-1146,0,No,4,One year,Fiber optic,No,71.55,310.47,4,Bank transfer,Yes,1
US-1147,0,No,28,Month-to-month,DSL,No,64.05,1785.84,1,Mailed check,Yes,1
US-1148,1,No,59,One year,DSL,No,70.77,4156.69,1,Electronic check,No,1
US-1149,0,No,27,Month-to-month,Fiber optic,No,85.51,2290.87,1,Electronic check,Yes,1
US-1150,0,No,69,Month-to-month,DSL,No,56.71,3910.23,7,Mailed check,No,1
US-1151,0,No,25,Two year,DSL,No,71.73,1765.92,3,Mailed check,No,0
US-1152,1,No,3,Month-to-month,Fiber optic,Yes,106.61,318.93,0,Electronic check,Yes,1
US-1153,0,No,68,Month-to-month,No,No,26.58,1787.4,1,Bank transfer,No,0
US-1154,0,No,25,Two year,Fiber optic,Yes,81.2,2047.38,0,Electronic check,Yes,0
US-1155,0,No,20,Month-to-month,Fiber optic,Yes,110.96,2220.95,0,Electronic check,Yes,0
US-1156,0,Yes,34,Month-to-month,DSL,No,49.63,1719.24,3,Bank transfer,Yes,0
US-1157,0,No,26,Two year,Fiber optic,No,98.2,2549.78,2,Electronic check,Yes,0
US-1158,0,No,5,One year,Fiber optic,No,71.3,309.52,1,Mailed check,Yes,1
US-1159,0,Yes,61,One year,Fiber optic,Yes,98.97,6059.04,0,Electronic check,Yes,0
US-1160,0,No,9,Two year,No,No,21.33,199.5,1,Electronic check,Yes,0
US-1161,0,Yes,50,Month-to-month,DSL,No,58.49,2934.35,2,Electronic check,Yes,0
US-1162,0,Yes,6,One year,No,No,22.14,117.8,0,Credit card,Yes,0
US-1163,0,No,60,Month-to-month,No,No,20.07,1203.56,3,Mailed check,Yes,0
US-1164,1,Yes,44,Two year,DSL,Yes,63.66,2803.84,0,Credit card,Yes,0
US-1165,0,No,11,Month-to-month,Fiber optic,Yes,109.69,1203.02,0,Mailed check,Yes,0
US-1166,0,No,66,One year,No,No,29.51,1921.64,0,Mailed check,Yes,0
US-1167,1,No,47,Month-to-month,DSL,No,50.77,2427.72,1,Electronic check,Yes,0
US-1168,1,Yes,3,Month-to-month,Fiber optic,No,102.28,319.38,2,Electronic check,No,1
US-1169,0,Yes,30,Two year,No,No,25.97,785.41,3,Electronic check,No,0
US-1170,0,No,21,One year,Fiber optic,Yes,85.45,1814.16,1,Electronic check,Yes,0
US-1171,1,No,28,One year,DSL,No,45.57,1285.62,2,Mailed check,No,0
US-1172,0,No,62,Month-to-month,Fiber optic,Yes,101.04,6254.32,3,Electronic check,Yes,1
US-1173,0,Yes,33,Month-to-month,DSL,No,73.36,2439.63,0,Electronic check,Yes,0
US-1174,0,No,35,One year,Fiber optic,Yes,98.45,3458.53,0,Electronic check,No,0
US-1175,1,No,52,Two year,DSL,Yes,58.06,3009.53,1,Mailed check,Yes,0
US-1176,0,No,34,One year,Fiber optic,Yes,93.63,3195.27,2,Bank transfer,No,1
US-1177,0,Yes,41,Two year,Fiber optic,Yes,78.98,3234.57,0,Credit card,Yes,0
US-1178,0,No,51,Two year,Fiber optic,Yes,103.77,5295.4,0,Electronic check,Yes,0
US-1179,1,No,47,One year,Fiber optic,No,103.59,4877.72,2,Electronic check,Yes,1
US-1180,0,No,58,One year,Fiber optic,No,76.55,4460.43,1,Electronic check,Yes,1
US-1181,1,Yes,57,Two year,Fiber optic,No,109.51,6232.38,0,Credit card,Yes,0
US-1182,0,No,23,One year,DSL,Yes,53.08,1226.31,0,Electronic check,Yes,0
US-1183,0,No,48,Two year,Fiber optic,No,114.2,5511.84,0,Bank transfer,No,0
US-1184,0,Yes,22,One year,DSL,Yes,56.49,1240.14,0,Mailed check,Yes,1
US-1185,0,No,17,One year,No,No,20.13,345.16,1,Electronic check,Yes,0
US-1186,0,No,69,Month-to-month,DSL,Yes,55.55,3863.16,0,Electronic check,Yes,0
US-1187,0,Yes,11,Month-to-month,Fiber optic,No,89.81,997.47,4,Electronic check,No,1
US-1188,0,Yes,15,Two year,Fiber optic,No,73.12,1074.69,4,Credit card,Yes,0
US-1189,0,No,35,One year,Fiber optic,Yes,96.02,3348.77,0,Mailed check,Yes,0
US-1190,1,Yes,33,One year,DSL,Yes,62.93,2087.03,0,Mailed check,No,0
US-1191,0,No,16,Two year,Fiber optic,No,103.25,1658.35,1,Mailed check,Yes,0
US-1192,0,Yes,34,One year,Fiber optic,Yes,71.31,2426.98,0,Bank transfer,Yes,0
US-1193,0,No,66,Month-to-month,Fiber optic,No,94.36,6260.18,2,Mailed check,No,0
US-1194,0,Yes,40,Two year,Fiber optic,No,72.38,2885.94,2,Electronic check,No,0
US-1195,0,No,28,One year,Fiber optic,Yes,101.55,2842.28,2,Electronic check,Yes,1
US-1196,0,No,47,Month-to-month,Fiber optic,Yes,72.51,3378.52,0,Electronic check,Yes,0
US-1197,0,No,39,Month-to-month,Fiber optic,Yes,111.03,4347.58,0,Bank transfer,No,0
US-1198,0,No,70,Month-to-month,Fiber optic,No,101.59,7099.32,4,Electronic check,Yes,0
US-1199,0,Yes,20,Month-to-month,Fiber optic,No,92.83,1872.46,3,Mailed check,No,1
US-1200,0,No,1,Month-to-month,DSL,No,58.25,72.53,3,Electronic check,Yes,1
US-1201,1,Yes,72,Month-to-month,DSL,No,48.92,3557.48,3,Credit card,Yes,0
US-1202,1,Yes,63,Month-to-month,DSL,No,53.73,3394.73,1,Electronic check,Yes,0
US-1203,0,Yes,67,Month-to-month,DSL,No,71.07,4756.35,1,Electronic check,No,0
US-1204,0,No,4,Month-to-month,Fiber optic,No,110.7,449.6,1,Credit card,No,1
US-1205,1,No,58,One year,Fiber optic,No,70.03,4050.35,0,Mailed check,No,0
US-1206,1,No,25,Two year,DSL,No,62.82,1575.29,1,Credit card,No,0
US-1207,0,Yes,47,One year,No,No,26.63,1248.6,0,Electronic check,Yes,0
US-1208,1,Yes,38,Month-to-month,DSL,No,63.56,2414.22,3,Electronic check,Yes,0
US-1209,1,No,15,Month-to-month,Fiber optic,No,73.68,1091.72,1,Bank transfer,No,1
US-1210,0,Yes,63,Month-to-month,Fiber optic,Yes,79.8,5031.91,1,Credit card,No,0
US-1211,0,No,21,Month-to-month,Fiber optic,No,81.27,1719.03,3,Electronic check,No,1
US-1212,0,Yes,57,Month-to-month,DSL,Yes,69.95,3962.37,0,Credit card,No,0
US-1213,0,No,53,Month-to-month,Fiber optic,Yes,90.84,4804.19,0,Mailed check,Yes,0
US-1214,0,No,46,Month-to-month,Fiber optic,Yes,91.91,4230.38,5,Credit card,Yes,0
US-1215,0,Yes,14,Two year,No,No,29.22,373.87,0,Electronic check,No,0
US-1216,0,Yes,17,Month-to-month,Fiber optic,No,98.67,1703.49,3,Electronic check,Yes,1
US-1217,0,No,39,Month-to-month,No,No,28.78,1111.75,4,Credit card,Yes,1
US-1218,0,No,9,Two year,DSL,No,58.7,514.23,1,Credit card,No,0
US-1219,0,Yes,6,Month-to-month,Fiber optic,Yes,76.72,457.21,1,Mailed check,Yes,0
US-1220,0,No,23,Month-to-month,Fiber optic,No,111.85,2574.61,0,Electronic check,No,1
US-1221,0,Yes,59,One year,Fiber optic,No,90.64,5336.41,0,Electronic check,Yes,0
US-1222,1,Yes,46,One year,DSL,Yes,50.45,2335.41,0,Mailed check,No,0
US-1223,0,No,38,One year,Fiber optic,No,83.61,3183.18,3,Electronic check,No,1
US-1224,0,Yes,14,Month-to-month,Fiber optic,No,72.29,999.5,2,Electronic check,Yes,1
US-1225,0,No,72,Month-to-month,Fiber optic,No,91.07,6549.2,1,Electronic check,Yes,1
US-1226,0,Yes,62,Month-to-month,DSL,No,70.59,4353.83,2,Bank transfer,Yes,0
US-1227,0,Yes,35,Month-to-month,No,No,29.2,1003.2,1,Electronic check,Yes,0
US-1228,0,No,19,Two year,DSL,No,72.98,1392.43,0,Mailed check,Yes,1
US-1229,0,Yes,30,One year,No,No,19.5,572.6,1,Mailed check,Yes,0
US-1230,0,No,25,Month-to-month,No,No,22.58,591.56,5,Bank transfer,Yes,1
US-1231,0,Yes,40,One year,No,No,18.34,734.66,1,Mailed check,Yes,0
US-1232,0,Yes,14,Month-to-month,Fiber optic,Yes,108.48,1498.43,0,Electronic check,Yes,1
US-1233,0,Yes,26,Two year,Fiber optic,Yes,86.14,2222.49,1,Bank transfer,No,0
US-1234,1,No,22,Month-to-month,No,No,25.57,578.33,5,Credit card,Yes,1
US-1235,0,Yes,48,Month-to-month,DSL,Yes,66.45,3188.45,3,Bank transfer,No,1
US-1236,0,No,51,Month-to-month,Fiber optic,No,89.34,4571.22,2,Credit card,No,0
US-1237,1,No,3,One year,Fiber optic,Yes,83.79,245.87,0,Bank transfer,No,1
US-1238,0,No,42,One year,Fiber optic,Yes,113.3,4750.2,0,Bank transfer,No,0
US-1239,1,Yes,19,Month-to-month,DSL,No,73.93,1421.46,2,Electronic check,Yes,1
US-1240,0,No,28,Month-to-month,Fiber optic,No,83.02,2311.68,1,Mailed check,No,0
US-1241,0,No,45,Month-to-month,No,No,23.76,1076.54,2,Mailed check,Yes,1
US-1242,0,No,71,Month-to-month,DSL,No,74.19,5264.31,3,Electronic check,No,1
US-1243,0,No,63,Two year,No,No,18.06,1150.96,2,Mailed check,No,0
US-1244,1,No,19,Month-to-month,DSL,Yes,57.38,1117.5,1,Electronic check,Yes,1
US-1245,0,No,47,Month-to-month,Fiber optic,Yes,74.52,3496.56,1,Bank transfer,Yes,0
US-1246,0,Yes,14,One year,DSL,Yes,60.27,835.57,0,Mailed check,Yes,1
US-1247,0,Yes,38,Month-to-month,DSL,Yes,45.74,1748.11,0,Mailed check,No,0
US-1248,0,No,53,One year,No,No,22.88,1196.41,4,Credit card,Yes,0
US-1249,0,No,61,Two year,Fiber optic,Yes,79.93,4899.98,1,Electronic check,Yes,0
US-1250,0,No,36,Month-to-month,Fiber optic,No,94.0,3405.69,4,Electronic check,Yes,1
US-1251,0,No,40,Two year,DSL,No,74.88,2980.21,3,Electronic check,Yes,1
US-1252,0,Yes,30,One year,Fiber optic,Yes,106.02,3156.85,0,Credit card,No,1
US-1253,0,Yes,9,Month-to-month,Fiber optic,No,108.05,955.04,3,Mailed check,No,0
US-1254,1,No,64,Month-to-month,Fiber optic,No,98.59,6292.58,2,Bank transfer,Yes,0
US-1255,0,Yes,33,Month-to-month,DSL,Yes,46.25,1538.28,3,Electronic check,Yes,0
US-1256,0,Yes,52,One year,No,No,20.48,1088.2,0,Mailed check,Yes,0
US-1257,0,No,14,Two year,Fiber optic,No,111.63,1574.67,1,Electronic check,Yes,0
US-1258,0,Yes,53,Two year,Fiber optic,Yes,86.48,4579.9,0,Bank transfer,No,0
US-1259,1,No,59,Two year,DSL,Yes,48.11,2843.63,1,Credit card,Yes,0
US-1260,0,Yes,41,Two year,Fiber optic,No,101.61,4152.96,0,Bank transfer,Yes,0
US-1261,0,No,68,One year,Fiber optic,Yes,83.48,5693.1,0,Bank transfer,No,0
US-1262,1,Yes,68,Month-to-month,Fiber optic,No,82.1,5589.28,2,Mailed check,No,0
US-1263,0,No,8,Month-to-month,DSL,Yes,74.94,611.12,1,Bank transfer,Yes,1
US-1264,0,Yes,2,Month-to-month,No,No,28.3,45.69,1,Mailed check,Yes,0
US-1265,0,Yes,41,One year,DSL,No,57.24,2344.31,0,Bank transfer,Yes,0
US-1266,0,Yes,55,Month-to-month,Fiber optic,No,114.11,6286.93,1,Electronic check,No,0
US-1267,0,No,16,Month-to-month,Fiber optic,Yes,99.26,1609.81,0,Electronic check,No,1
US-1268,0,No,62,Month-to-month,DSL,Yes,67.26,4161.0,1,Mailed check,Yes,0
US-1269,0,Yes,48,Month-to-month,Fiber optic,No,71.42,3439.87,3,Mailed check,Yes,1
US-1270,0,No,30,One year,DSL,No,48.65,1448.82,0,Electronic check,No,0
US-1271,0,No,12,Month-to-month,No,No,25.6,338.96,3,Bank transfer,No,1
US-1272,0,No,35,One year,No,No,28.79,1001.43,1,Electronic check,No,0
US-1273,0,Yes,11,Month-to-month,No,No,25.48,289.93,2,Electronic check,Yes,0
US-1274,0,No,64,One year,DSL,No,49.02,3139.76,3,Bank transfer,Yes,0
US-1275,0,Yes,50,Month-to-month,Fiber optic,No,75.21,3799.58,2,Mailed check,Yes,0
US-1276,0,Yes,21,Month-to-month,Fiber optic,No,107.99,2271.24,1,Bank transfer,Yes,1
US-1277,0,No,69,One year,No,No,19.67,1349.5,1,Mailed check,Yes,0
US-1278,0,Yes,48,Month-to-month,Fiber optic,No,93.41,4493.27,3,Credit card,Yes,1
US-1279,0,No,20,Month-to-month,No,No,18.45,378.26,4,Mailed check,Yes,1
US-1280,0,No,67,Month-to-month,Fiber optic,No,73.63,4930.85,6,Electronic check,No,1
US-1281,0,No,44,Month-to-month,Fiber optic,No,100.26,4395.02,2,Electronic check,Yes,1
US-1282,0,No,33,Month-to-month,DSL,No,65.68,2159.52,4,Electronic check,No,0
US-1283,1,Yes,61,Month-to-month,Fiber optic,No,85.37,5220.79,4,Credit card,Yes,1
US-1284,0,Yes,9,One year,Fiber optic,Yes,79.7,691.09,0,Electronic check,No,0
US-1285,1,No,68,Two year,Fiber optic,No,106.62,7246.44,1,Electronic check,Yes,0
US-1286,0,Yes,35,Month-to-month,Fiber optic,No,79.77,2806.87,2,Electronic check,No,1
US-1287,0,Yes,65,Two year,Fiber optic,Yes,94.39,6133.95,1,Credit card,Yes,0
US-1288,0,Yes,8,Month-to-month,DSL,Yes,74.05,625.01,1,Electronic check,Yes,1
US-1289,0,Yes,45,One year,Fiber optic,Yes,76.65,3423.08,2,Credit card,No,0
US-1290,1,Yes,47,One year,Fiber optic,No,112.34,5265.56,0,Electronic check,Yes,0
US-1291,1,Yes,40,One year,Fiber optic,No,78.23,3094.48,1,Electronic check,Yes,0
US-1292,0,No,54,Month-to-month,DSL,Yes,62.02,3378.99,3,Electronic check,No,0
